

doubt:
(1009, [(1, 2, 10), (4, 6, 9)], 2)

(12384, [(1, 6, 23), (2, 12, 22), (15, 16, 17)], 3)

(82278, [(3, 14, 43), (11, 19, 42), (16, 21, 41), (28, 29, 33)], 4)

(746992, [(4, 71, 73), (6, 51, 85), (8, 58, 82), (22, 38, 88), (25, 62, 79)], 5)

(5401404, [(9, 51, 174), (15, 117, 156), (21, 32, 175), (57, 60, 171), (71, 82, 165), (78, 91, 161)], 6)

(15685704, [(18, 38, 250), (57, 164, 223), (61, 83, 246), (82, 188, 204), (84, 180, 210), (122, 123, 229), (135, 160, 209)], 7)

(26936064, [(12, 100, 296), (36, 204, 264), (62, 219, 253), (67, 114, 293), (87, 225, 246), (108, 228, 240), (112, 212, 252), (138, 207, 249)], 8)

precise:

[36, (27, 8, 1)]
[1009, (729, 216, 64), (1000, 8, 1)]
[12384, (4913, 4096, 3375), (10648, 1728, 8), (12167, 216, 1)]
[82278, (35937, 24389, 21952), (68921, 9261, 4096), (74088, 6859, 1331), (79507, 2744, 27)]

all cubes:

(205568, [(4, 5, 59), (20, 28, 56), (23, 33, 54)], 3) ,
(206864, [(5, 42, 51), (14, 36, 54), (19, 29, 56)], 3) ,
(208818, [(4, 15, 59), (20, 25, 57), (23, 40, 51)], 3) ,
(209304, [(12, 13, 59), (24, 38, 52), (31, 41, 48)], 3) ,
(209600, [(5, 16, 59), (21, 35, 54), (24, 44, 48)], 3) ,
(212904, [(3, 40, 53), (6, 26, 58), (15, 41, 52)], 3) ,
(213760, [(9, 36, 55), (18, 46, 48), (20, 22, 58)], 3) ,
(214768, [(18, 24, 58), (22, 36, 54), (25, 32, 55)], 3) ,
(216784, [(1, 39, 54), (16, 26, 58), (25, 46, 47)], 3) ,
(217790, [(15, 47, 48), (17, 40, 53), (29, 33, 54)], 3) ,
(218511, [(12, 39, 54), (16, 47, 48), (21, 35, 55)], 3) ,
(220158, [(13, 32, 57), (15, 39, 54), (20, 43, 51)], 3) ,
(220921, [(2, 17, 60), (15, 23, 59), (30, 41, 50)], 3) ,
(221129, [(5, 25, 59), (6, 17, 60), (38, 41, 46)], 3) ,
(221255, [(2, 38, 55), (5, 33, 57), (27, 41, 51)], 3) ,
(221642, [(8, 33, 57), (9, 17, 60), (16, 23, 59)], 3) ,
(225028, [(5, 31, 58), (17, 43, 52), (20, 37, 55)], 3) ,
(226962, [(18, 33, 57), (23, 27, 58), (37, 44, 45)], 3) ,
(227989, [(2, 10, 61), (13, 44, 52), (19, 33, 57)], 3) ,
(228691, [(18, 19, 60), (28, 42, 51), (40, 43, 44)], 3) ,
(230040, [(6, 24, 60), (11, 12, 61), (25, 47, 48)], 3) ,
(230112, [(5, 46, 51), (12, 43, 53), (20, 30, 58)], 3) ,
(230336, [(8, 24, 60), (20, 46, 50), (28, 32, 56)], 3) ,
(231895, [(1, 17, 61), (7, 42, 54), (22, 38, 55)], 3) ,
(239660, [(1, 11, 62), (8, 23, 61), (37, 44, 47)], 3) ,
(240345, [(7, 45, 53), (9, 40, 56), (41, 42, 46)], 3) ,
(241155, [(17, 21, 61), (24, 28, 59), (27, 47, 49)], 3) ,
(242542, [(17, 22, 61), (19, 27, 60), (23, 40, 55)], 3) ,
(243424, [(10, 16, 62), (28, 47, 49), (34, 36, 54)], 3) ,
(244224, [(4, 18, 62), (22, 26, 60), (28, 36, 56)], 3) ,
(245799, [(2, 31, 60), (15, 16, 62), (32, 36, 55)], 3) ,
(246007, [(5, 43, 55), (6, 31, 60), (19, 23, 61)], 3) ,
(246240, [(3, 46, 53), (12, 39, 57), (22, 48, 50)], 3) ,
(247213, [(10, 46, 53), (11, 43, 55), (21, 28, 60)], 3) ,
(249705, [(1, 42, 56), (8, 40, 57), (9, 22, 62)], 3) ,
(249768, [(4, 42, 56), (10, 32, 60), (20, 36, 58)], 3) ,
(250264, [(1, 6, 63), (11, 28, 61), (22, 40, 56)], 3) ,
(250327, [(3, 49, 51), (4, 6, 63), (7, 38, 58)], 3) ,
(250496, [(1, 23, 62), (8, 38, 58), (12, 32, 60)], 3) ,
(250704, [(10, 42, 56), (12, 22, 62), (17, 31, 60)], 3) ,
(252099, [(4, 36, 59), (9, 29, 61), (25, 47, 51)], 3) ,
(255143, [(7, 46, 54), (10, 16, 63), (21, 43, 55)], 3) ,
(255816, [(8, 34, 60), (18, 38, 58), (43, 44, 45)], 3) ,
(257032, [(10, 37, 59), (12, 34, 60), (18, 48, 52)], 3) ,
(257501, [(1, 45, 55), (9, 31, 61), (13, 34, 60)], 3) ,
(257867, [(6, 50, 51), (14, 43, 56), (18, 36, 59)], 3) ,
(258049, [(16, 25, 62), (23, 43, 55), (30, 33, 58)], 3) ,
(258229, [(9, 45, 55), (13, 37, 59), (19, 29, 61)], 3) ,
(259559, [(19, 47, 53), (20, 44, 55), (29, 31, 59)], 3) ,
(260281, [(1, 28, 62), (10, 42, 57), (15, 19, 63)], 3) ,
(261009, [(9, 28, 62), (12, 42, 57), (32, 48, 49)], 3) ,
(264601, [(9, 12, 64), (22, 25, 62), (28, 49, 50)], 3) ,
(265383, [(16, 47, 54), (24, 44, 55), (31, 48, 50)], 3) ,
(269387, [(2, 40, 59), (11, 48, 54), (27, 42, 56)], 3) ,
(270720, [(7, 44, 57), (14, 18, 64), (28, 32, 60)], 3) ,
(271475, [(11, 20, 64), (21, 23, 63), (24, 50, 51)], 3) ,
(271529, [(11, 47, 55), (25, 26, 62), (33, 48, 50)], 3) ,
(277696, [(4, 34, 62), (9, 48, 55), (12, 24, 64)], 3) ,
(280449, [(9, 26, 64), (12, 16, 65), (33, 39, 57)], 3) ,
(281952, [(5, 27, 64), (34, 44, 54), (36, 41, 55)], 3) ,
(282491, [(3, 50, 54), (31, 47, 53), (35, 40, 56)], 3) ,
(284913, [(3, 43, 59), (17, 40, 60), (22, 33, 62)], 3) ,
(285823, [(24, 28, 63), (25, 47, 55), (31, 37, 59)], 3) ,
(286721, [(16, 20, 65), (25, 32, 62), (36, 38, 57)], 3) ,
(286749, [(6, 29, 64), (8, 45, 58), (30, 32, 61)], 3) ,
(287568, [(2, 4, 66), (11, 45, 58), (32, 46, 54)], 3) ,
(288296, [(15, 41, 60), (18, 50, 54), (20, 44, 58)], 3) ,
(288497, [(1, 10, 66), (13, 39, 61), (34, 40, 57)], 3) ,
(289008, [(3, 37, 62), (8, 10, 66), (34, 42, 56)], 3) ,
(289694, [(1, 13, 66), (7, 34, 63), (39, 40, 55)], 3) ,
(290304, [(4, 14, 66), (6, 42, 60), (16, 48, 56)], 3) ,
(293112, [(16, 47, 57), (22, 50, 54), (44, 46, 48)], 3) ,
(293929, [(9, 38, 62), (12, 26, 65), (17, 47, 57)], 3) ,
